y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,Tower,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Gate,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Tower,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,Rio,,,,,,Circus,Circus,Circus,Circus,Circus,Circus,,,Road,,,,,,,,Wall N-S?,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,,,,,Circus,Circus,Circus,Circus,Circus,Circus,Market 2,Market 2,Road,Market 2,Market 2,Temple,Temple,,,,Wall N-S?,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basilica,Basilica,Basilica,,,,,Rio,Rio,,,,Circus,Circus,Circus,Circus,Circus,Circus,Market 2,Market 2,Road,Market 2,Market 2,Temple,Temple,,,,Wall N-S?,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grammaticus,Grammaticus,Aventine,Aventine,Basilica,Basilica,Basilica,,,,,,Rio,,Rio,Rio,Rio,,,Road,Road,Road,Temple,Temple,Road,Road,Road,Road,Road,Road,Road,,Wall N-S?,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grammaticus,Grammaticus,Aventine,Aventine,Basilica,Basilica,Basilica,,,,,,Rio,Rio,Rio,,Rio,Rio,,Road,Baths,Baths,Temple,Temple,Plaza,Janiculan 2,Janiculan 2,Janiculan 2,Barracks,Barracks,Barracks,,Wall N-S?,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market 3,Market 3,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,,,,,,,,,,,Rio,Rio,Road,Baths,Baths,Casa,Casa,Plaza 1,Janiculan 2,Janiculan 2,Janiculan 2,Barracks,Barracks,Barracks,,Wall N-S?,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market 3,Market 3,Road,Praefecture,Garden,Casa,Casa,Casa,Casa,Casa,Road,Market 3,Market 3,,,,,,,,,Road,Road,Road,Shrine 3,Casa,Casa,Casa,Plaza est,Janiculan 2,Janiculan 2,Janiculan 2,Barracks,Barracks,Barracks,,Wall N-S?,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janiculan 1,Janiculan 1,Janiculan 1,Road,Casa,Garden,Casa,Casa,Casa,Casa,Casa,Road,Market 3,Market 3,,,,,,,Praefecture,Praefecture,Road,Rio,Reservatorio,Fountain 1,Casa,Casa,Casa,Plaza 1,,,,,,,,Wall N-S?,
