id_hex,id_dec,grade,name_faq,achea_tiles,achea_origins,achea_lv15_min,achea_lv15_med,achea_lv15_mean,achea_lv15_max,achea_lv15_uniq,s20230610_tiles,s20230610_lv15_min,s20230610_lv15_med,s20230610_lv15_max,dir_required_lv,exe_ev_min,exe_ev_max,occupancy,c2model_land_bonus,c2model_land_radius,footprint_hint
0x82,130,0,One hut,0,0,,,,,,0,,,,0,-3,1,2,-2,1,1x1
0x83,131,1,Two huts,0,0,,,,,,0,,,,2,0,3,4,-2,1,1x1
0x84,132,2,Three huts,0,0,,,,,,0,,,,4,2,5,6,-2,1,1x1
0x85,133,3,Communal hut,0,0,,,,,,0,,,,6,4,7,8,-1,1,1x1
0x86,134,4,Large communal hut,1,1,0,0.0,0,0,1,0,,,,8,6,9,10,-1,1,1x1
0x87,135,5,Primitive house,2,2,0,0.0,0,0,1,6,10,10.0,10,10,9,11,12,-1,1,1x1
0x88,136,6,Simple house,10,10,0,0.0,0,0,1,0,,,,12,11,13,6,0,1,1x1
0x89,137,7,Small house,64,64,0,0.0,0,0,1,52,16,16.0,16,14,13,16,7,0,1,1x1
0x8A,138,8,Average house,10,10,0,0.0,0,0,1,7,16,16.0,18,16,16,18,8,0,1,1x1
0x8B,139,9,Improved house,2,2,0,0.0,0,0,1,1,20,20.0,20,18,18,20,9,0,1,1x1
0x8C,140,10,Large house,8,8,0,0.0,0,0,1,0,,,,20,20,22,12,1,1,1x1
0x8D,141,11,Grand house,16,16,0,0.0,0,0,1,42,23,24.0,24,22,22,24,16,1,1,1x1
0x8E,142,12,Primitive insula,63,63,0,0.0,0,0,1,58,26,26.0,26,24,24,26,20,1,1,1x1
0x8F,143,13,Simple insula,2,2,0,0.0,0,0,1,12,12,26.0,26,26,26,28,24,1,1,1x1
0x90,144,14,Small insula,3,3,0,0.0,0,0,1,4,6,12.0,30,28,28,30,28,1,1,1x1
0x91,145,15,Average insula,4,4,0,0.0,0,0,1,13,6,32.0,32,30,30,32,32,1,1,1x1
0x92,146,16,Improved insula,1,1,0,0.0,0,0,1,6,6,23.0,34,32,32,34,36,1,1,1x1
0x93,147,17,Large insula,1,1,0,0.0,0,0,1,1,6,6.0,6,34,34,36,42,1,1,1x1
0x94,148,18,Grand insula,3,3,0,0.0,0,0,1,4,38,38.0,38,36,36,38,48,1,1,1x1
0x95,149,19,Imperial insula,3,3,0,0.0,0,0,1,3,40,40.0,40,38,38,40,54,1,1,1x1
0x96,150,20,Simple domus,1,1,0,0.0,0,0,1,0,,,,40,40,42,20,2,1,1x1
0x97,151,21,Small domus,3,3,0,0.0,0,0,1,9,44,44.0,44,42,42,44,25,2,1,1x1
0x98,152,22,Average domus,4,4,0,0.0,0,0,1,2,46,46.0,46,44,44,46,30,2,1,1x1
0x99,153,23,Improved domus,2,2,0,0.0,0,0,1,5,47,48.0,48,46,46,48,35,2,1,1x1
0x9A,154,24,Large domus,3,3,0,0.0,0,0,1,1,56,56.0,56,48,48,50,40,2,1,1x1
0x9B,155,25,Grand domus,12,12,0,0.0,0,0,1,17,12,60.0,64,50,50,52,45,2,1,1x1
0x9C,156,26,Simple villa,0,0,,,,,,0,,,,52,52,54,100,8,2,2x2
0x9D,157,27,Small villa,4,1,0,0.0,0,0,1,4,56,56.0,56,54,54,56,120,8,2,2x2
0x9E,158,28,Improved villa,0,0,,,,,,0,,,,58,56,58,150,8,2,2x2
0x9F,159,29,Grand villa,12,3,0,0.0,0,0,1,20,12,12.0,64,60,58,60,200,8,2,2x2
0xA0,160,30,Small palace,0,0,,,,,,0,,,,62,60,62,300,16,2,3x3
0xA1,161,31,Large palace,90,10,0,0.0,0,0,1,45,32,64.0,64,64,62,125,500,16,2,3x3
